ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789360661.412624056 43270 95352 417 894 800 3351
1789360663.440043457 43270 95352 417 894 783 800
1789360665.461978150 43270 95352 417 894 1500 800
1789360667.486763967 43270 95352 417 894 2890 800
1789360669.511374877 43270 95352 417 894 796 800
1789360671.538354534 43270 95352 417 894 1381 2973
1789360673.566038827 43270 95352 417 894 799 3100
1789360675.591171696 43270 95352 417 894 798 3100
1789360677.620629195 43270 95352 417 894 799 800
1789360679.648900260 43270 95352 417 894 798 3100
1789360681.677073565 43270 95352 417 894 800 2899
1789360683.704825821 43270 95352 417 894 799 800
1789360685.734161907 43270 95352 417 894 757 3100
1789360687.759104415 43270 95352 417 894 800 3100
1789360689.786806311 43270 95352 417 894 799 3100
1789360691.814252778 43270 95352 417 894 798 800
1789360693.841733146 43270 95352 417 894 803 800
1789360695.868978544 43270 95352 417 894 800 3100
1789360697.893692760 43270 95352 417 894 836 3099
1789360699.923216026 43270 95352 417 894 1038 2900
1789360701.948327128 43270 95352 417 894 798 800
1789360703.975540692 43270 95352 417 894 800 800
1789360706.003092325 43270 95352 417 894 799 800
1789360708.027884009 43270 95352 417 894 1390 800
1789360710.053272778 43270 95352 417 894 792 800
1789360712.075429905 43270 95352 417 894 767 800
1789360714.101869299 43270 95352 417 894 779 800
1789360716.128753473 43270 95352 417 894 979 800
1789360718.152822561 43270 95352 417 894 834 800
1789360720.178814137 43270 95352 417 894 890 800
1789360722.205214063 43270 95352 417 894 797 800
1789360724.234354044 43270 95352 417 894 798 3796
1789360726.262724647 43270 95352 417 894 800 800
1789360728.294219000 43270 95352 417 894 819 3099
1789360730.325558809 43270 95352 417 894 799 3100
1789360732.352378524 43270 95352 417 894 851 3100
1789360734.379555460 43270 95352 417 894 800 3099
1789360736.409931261 43270 95352 417 894 2300 3399
1789360738.438428707 43270 95352 417 894 799 800
1789360740.466332534 43270 95352 417 894 799 3687
1789360742.491661670 43270 95352 417 894 2500 3100
1789360744.519057538 43270 95352 417 894 3078 800
1789360746.544490205 43270 95352 417 894 857 3717
1789360748.570005155 43270 95352 417 894 907 3100
1789360750.596162289 43270 95352 417 894 800 800
1789360752.622129604 43270 95352 417 894 798 800
1789360754.649781704 43270 95352 417 894 742 800
1789360756.676486564 43270 95352 417 894 1724 800
1789360758.706246733 43270 95352 417 894 1947 2900
1789360760.734908296 43270 95352 417 894 920 3100
1789360762.758700058 43270 95352 417 894 798 3100
1789360764.784510689 43270 95352 417 894 800 800
1789360766.811408766 43270 95352 417 894 796 3099
1789360768.837908672 43270 95352 417 894 1700 3100
1789360770.863180450 43271 95355 417 894 797 800
1789360772.887408315 43271 95355 417 894 935 3100
1789360774.912522837 43271 95355 417 894 778 3100
1789360776.939197130 43271 95355 417 894 800 800
1789360778.958710910 43271 95355 417 894 1000 800
1789360780.971364237 43271 95355 417 894 800 800
1789360782.998215339 43271 95355 417 894 798 800
1789360785.026242617 43271 95355 417 894 795 800
1789360787.053784207 43271 95355 417 894 798 800
1789360789.081337337 43271 95355 417 894 755 800
1789360791.104340843 43272 95358 417 894 777 3400
1789360793.132753715 43272 95358 417 894 799 800
1789360795.156988282 43272 95358 417 894 2063 800
1789360797.183938216 43272 95358 417 894 800 772
1789360799.211288254 43272 95358 417 894 799 800
1789360801.238831517 43272 95358 417 894 963 800
1789360803.265874725 43272 95358 417 894 799 1356
1789360805.293445886 43272 95358 417 894 869 1563
1789360807.320861040 43272 95358 417 894 808 800
1789360809.346259044 43272 95358 417 894 2387 800
1789360811.372064223 43272 95358 417 894 799 3100
1789360813.401640693 43272 95358 417 894 800 3100
1789360815.430476685 43272 95358 417 894 824 800
1789360817.457227776 43272 95358 417 894 763 800
1789360819.484541239 43272 95358 417 894 2117 800
1789360821.512878066 43272 95358 417 894 800 800
1789360823.540623838 43272 95358 417 894 798 800
1789360825.568594561 43272 95358 417 894 800 800
1789360827.597045840 43272 95358 417 894 851 800
1789360829.622503827 43272 95358 417 894 800 800
1789360831.651393239 43272 95358 417 894 799 800
1789360833.678176679 43272 95358 417 894 778 800
1789360835.711011401 43272 95358 417 894 1317 800
1789360837.740871618 43272 95358 417 894 2560 800
1789360839.770007600 43272 95358 417 894 844 800
1789360841.796714889 43272 95358 417 894 800 3200
1789360843.823806991 43272 95358 417 894 1200 800
