epoch,n_busy,busy_median_khz,busy_p90_khz,all_median_khz,loadavg
1788875070,14,2384243,2879067,800000,7.98
1788875100,20,2900220,3100000,800000,7.89
1788875130,9,1400000,2107368,800000,7.01
1788875161,26,2897733,3100000,2218000,6.95
1788875191,22,2895810,3000000,800000,9.04
1788875221,23,2874587,3110616,800000,9.94
1788875251,24,2899748,3092967,800000,11.38
1788875281,25,2899957,2934411,1732378,13.16
1788875311,18,2869842,3089935,800000,13.49
1788875341,7,2595781,3100000,800000,12.51
1788875371,20,2816011,3048453,800000,10.07
1788875401,21,2967605,3097803,800000,11.28
1788875431,23,2841984,3029520,800000,12.27
1788875462,24,2820687,2861403,800000,12.16
1788875492,14,2884386,3090180,800000,12.93
1788875522,19,2784611,2995163,800000,12.54
1788875552,29,2900000,2900029,2898069,11.62
1788875582,29,2900000,3100000,2731788,14.53
1788875612,31,2900000,3100000,2899785,16.32
1788875642,29,2900000,3100000,2631463,17.61
1788875672,29,2900000,2992062,2824740,16.69
1788875702,28,2900000,3151140,2899218,17.80
1788875733,25,2900000,3100000,2889056,15.86
1788875763,20,2900000,2900029,800000,16.82
1788875793,19,2900000,2900029,800000,17.47
1788875823,20,2900000,3099968,800000,17.86
1788875853,24,2900000,3099937,867095,18.28
1788875883,22,2900000,3047232,800005,18.35
1788875913,34,2891422,3053071,2875741,16.96
1788875943,30,2899151,3028632,2692642,12.89
1788875973,35,2886219,2900082,2844414,11.68
1788876004,34,2900000,3079290,2874990,10.24
1788876034,40,2899824,3096743,2863591,10.02
1788876064,32,2895092,2900641,2637875,10.67
1788876094,4,1073645,1200000,800000,10.56
1788876124,24,2900000,2900029,810772,11.89
1788876154,26,2900000,3215787,2899294,14.88
1788876184,21,2900000,3100000,800000,16.04
1788876214,31,2900000,3078140,2899970,17.15
1788876244,25,2900000,3097942,2898090,15.92
1788876274,28,2900000,2900029,2787278,17.01
1788876305,23,2900000,2900000,800000,16.17
1788876335,24,2900000,3100000,815972,16.89
1788876365,22,2900000,3014823,800000,17.65
1788876395,20,2900000,3084568,800000,17.71
1788876425,22,2900000,2900000,800000,17.29
1788876455,20,2900000,2900029,800000,17.21
1788876485,27,2900000,2940539,2727853,13.46
1788876515,25,2897976,2900010,1180495,12.54
1788876545,25,2897900,2905991,2462068,10.69
1788876576,24,2900000,3078758,800000,8.86
1788876606,28,2900000,3097942,1700033,9.14
1788876636,24,2897070,2900017,828287,8.47
1788876666,8,1894892,2206749,800000,8.46
1788876696,21,2900000,3188707,800000,7.40
1788876726,23,2900000,3096962,800000,7.80
1788876756,21,2900000,3098037,800000,8.11
1788876786,22,2899983,2900055,800000,9.03
1788876816,20,2900105,3100044,800000,8.04
1788876847,19,2900008,3339048,800000,7.67
1788876877,26,2899962,3099801,1223300,6.81
1788876907,20,2895981,2926678,800000,6.33
1788876937,17,2849986,2900000,800000,6.82
1788876967,20,2554891,2900000,800000,7.15
1788876997,16,2900000,3100000,800000,6.93
1788877027,23,2900000,2957267,841354,7.96
1788877057,13,2419854,3009042,800000,7.49
